SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
ATONEMENT LUTHERAN PRESCHOOL,N/A,4001 WEST BEARDSLEY ROAD,GLENDALE,Maricopa,85308,N/A,,30,76.7,-,N/A,80,-,N/A,76.7,-,N/A,76.7,-,N/A,73.3,-,N/A,63.3,-,N/A,76.7,-,N/A,13.3,0,N/A
AUGUSTA RANCH ELEMENTARY PRESCHOOL,N/A,9430 EAST NEVILLE AVENUE,MESA,Maricopa,85209,N/A,,43,93,-,N/A,95.3,-,N/A,97.7,-,N/A,90.7,-,N/A,95.3,-,N/A,93,-,N/A,93,-,N/A,7,0,N/A
AVONDALE SOUTH,N/A,525 EAST HARRISON DRIVE,AVONDALE,Maricopa,85323,N/A,,33,100,-,N/A,100,-,N/A,100,-,N/A,84.8,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AWAKENING SEED SCHOOL,N/A,6630 SOUTH 40TH STREET,PHOENIX,Maricopa,85042,N/A,,78,88.5,-,N/A,87.2,-,N/A,84.6,-,N/A,87.2,-,N/A,84.6,-,N/A,82.1,-,N/A,85.9,-,N/A,17.9,0,N/A
AZ DESERT,N/A,8803 W VAN BUREN ST,Tolleson,Maricopa,85353,N/A,,32,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AZ Western College Child Dev. Learning Lab,N/A,PO Box 929,Yuma,Yuma,85366,N/A,,25,100,-,N/A,100,-,N/A,96,-,N/A,100,-,N/A,64,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Abundant Life Preschool,N/A,3475 E. Soliere Ave,Flagstaff,Coconino,86004,N/A,,73,95.9,-,N/A,95.9,-,N/A,94.5,-,N/A,95.9,-,N/A,58.9,-,N/A,95.9,-,N/A,95.9,-,N/A,5.5,0,N/A
Acacia Preschool,N/A,12955 E. Colossal Cave,Vail,Pima,85641,N/A,,25,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,84,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Acorn Christian Montessori School,N/A,7555 E. Long Look Dr.,Prescott Valley,Yavapai,86314,N/A,,70,97.1,-,N/A,98.6,-,N/A,97.1,-,N/A,98.6,-,N/A,67.1,-,N/A,98.6,-,N/A,95.7,-,N/A,7.1,0,N/A
Acorn Preschool,N/A,290 W. Oak Ave.,Flagstaff,Coconino,86001,N/A,,48,97.9,-,N/A,97.9,-,N/A,97.9,-,N/A,97.9,-,N/A,77.1,-,N/A,97.9,-,N/A,97.9,-,N/A,2.1,0,N/A
Adventure Kids Preschool,N/A,1901 S 7th Ave,Yuma,Yuma,85364,N/A,,44,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,63.6,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Adventure School 2,N/A,5801 E. Pima St.,Tucson,Pima,85712,N/A,,28,96.4,-,N/A,96.4,-,N/A,100,-,N/A,92.9,-,N/A,50,-,N/A,96.4,-,N/A,100,-,N/A,3.6,0,N/A
Alchesay Beginnings Child Development Center,N/A,PO Box 190,Whiteriver,Navajo,85941,N/A,,40,85,-,N/A,97.5,-,N/A,97.5,-,N/A,97.5,-,N/A,62.5,-,N/A,97.5,-,N/A,97.5,-,N/A,0,0,N/A
Alpine Academy Preschool,N/A,"5200 E Courtland Blvd, Suite A22",Flagstaff,Coconino,86004,N/A,,22,86.4,-,N/A,100,-,N/A,95.5,-,N/A,95.5,-,N/A,63.6,-,N/A,95.5,-,N/A,95.5,-,N/A,0,0,N/A
American Lutheran School,N/A,1085 Scott Dr.,Prescott,Yavapai,86301,N/A,,53,90.6,-,N/A,86.8,-,N/A,88.7,-,N/A,88.7,-,N/A,64.2,-,N/A,79.2,-,N/A,88.7,-,N/A,17,0,N/A
Amphi Head Start,N/A,602 E. 22nd St.,Tucson,Pima,85713,N/A,,55,98.2,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,78.2,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
Apache Junction Head Start,N/A,P.O. Box 8490,Apache Junction,Pinal,85120,N/A,,77,93.5,-,N/A,97.4,-,N/A,98.7,-,N/A,94.8,-,N/A,61,-,N/A,98.7,-,N/A,97.4,-,N/A,2.6,0,N/A
Ascencion Lutheran Preschool,N/A,1220 W. Magee Rd.,Tucson,Pima,85704,N/A,,79,98.7,-,N/A,100,-,N/A,98.7,-,N/A,98.7,-,N/A,70.9,-,N/A,98.7,-,N/A,98.7,-,N/A,0,0,N/A
Ash Fork Head Start,N/A,PO Box 374,Ash Fork,Yavapai,86320,N/A,,29,93.1,-,N/A,96.6,-,N/A,96.6,-,N/A,96.6,-,N/A,75.9,-,N/A,96.6,-,N/A,96.6,-,N/A,3.4,0,N/A
B.C.U.S.D.#20 - Bullhead Elementary Preschool,N/A,1004 Hancock Rd.,Bullhead City,Mohave,86442,N/A,,53,96.2,-,N/A,98.1,-,N/A,98.1,-,N/A,96.2,-,N/A,81.1,-,N/A,98.1,-,N/A,98.1,-,N/A,3.8,0,N/A
BASHA ELEMENTARY PRESCHOOL,N/A,3535 S BASHA RD,CHANDLER,Maricopa,85248,N/A,,26,84.6,-,N/A,80.8,-,N/A,84.6,-,N/A,73.1,-,N/A,80.8,-,N/A,84.6,-,N/A,84.6,-,N/A,15.4,0,N/A
BAYER PRIVATE SCHOOL,N/A,7950 W PINNACLE PEAK RD,PEORIA,Maricopa,85383,N/A,,26,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
