Zip,Total 2011,Margin 2011,Total 2012,Margin 2012,Total 2013,Margin 2013,Total 2014,Margin 2014,Total 2015,Margin 2015,Total 2016,Margin 2016
86021,37039,11921,35541,8696,29944,8723,30962,5179,31524,11739,43583,10059
86022,37173,5376,39089,3683,44519,9256,47530,9361,46490,6092,45125,11247
86023,53750,22452,32500,12560,26771,15619,29421,11752,34963,10163,32212,7231
86024,35069,24379,37500,24605,55000,33550,66458,32370,75375,24041,67273,19188
86025,48036,8936,46932,11124,51793,4260,46563,12177,50702,7799,52035,8357
86028,,,,,,,,,,,-666666666,-222222222
86029,14630,105575,23875,19264,14076,22437,13105,2049,13151,1659,12580,9114
86030,34063,8615,35714,7454,35625,6740,35964,4241,41950,6488,43182,4090
86031,29417,6313,26364,10099,16667,8428,14934,5126,14962,4904,14598,4366
86032,46111,11604,52750,10935,47750,10253,47396,9061,45114,6871,51378,4916
86033,21976,3690,20670,2354,20919,1574,21633,1493,24198,3147,26274,2709
86034,30250,7399,25375,7426,24783,5037,21548,4157,20170,3470,19919,2926
86035,27222,6664,25188,4052,27888,4401,29201,2917,29712,2437,35238,4049
86036,37976,41129,34583,36163,19444,15862,25543,13696,33182,14555,35156,19415
86038,,,90694,69309,,,,,,,-666666666,-222222222
86039,24196,5723,25573,5576,22237,5891,18636,6645,19135,7683,20000,8940
86040,56125,12565,59063,11825,60377,10023,52690,8300,54538,5869,56975,7488
86042,44620,6799,44219,13205,29500,19448,35000,15766,24677,18514,22841,5264
86043,22656,10321,20000,7509,23542,11118,31713,11869,34167,8541,32632,5721
86044,28462,4338,25313,3934,24625,3877,23750,3476,20917,3402,20761,4319
86045,46314,4962,47404,3531,48809,3605,45833,4031,45148,4241,43156,3644
86046,43750,5641,44066,4324,47694,7750,47279,9054,44397,8595,41629,7327
86047,39346,6562,37891,3547,33797,4275,34355,3136,31796,3831,31643,2978
86052,32045,69673,30833,36470,30938,37700,,,,,-666666666,-222222222
86053,32464,12506,30000,5897,28239,4231,28792,3200,28750,3682,33672,5225
86054,24141,5638,27300,4299,25481,4809,29375,8200,27120,5070,25924,4111
86301,41321,2430,42903,3403,44764,3284,45587,4422,46164,4272,48130,3080
86303,45716,3103,45097,4723,44262,3299,45727,4638,45865,5527,49261,4417
86305,55888,6036,53144,7029,55120,6638,58264,5977,56604,6395,56672,4649
86313,,,,,,,,,,,-666666666,-222222222
86314,41692,1799,39900,2494,39857,1834,40298,2074,39784,2748,41607,1947
86315,56992,7544,58643,6920,56148,6632,56180,5079,54078,3142,55370,6641
86320,25107,7821,24774,7882,25417,7679,26204,5550,27067,3458,28142,4470
86321,57574,6372,60233,7994,61667,3480,64617,4952,71983,13676,66774,18476
86322,37647,3875,37159,6676,39803,3692,38039,6159,34766,7682,36423,6781
86323,44381,3799,44353,4337,42922,3860,43439,2693,43886,2552,46801,5301
86324,41682,9587,41381,7901,41355,8484,45297,7495,47197,10717,46264,2840
86325,59054,15710,49531,15240,47932,15318,43777,8946,44125,8801,49980,6537
86326,40616,2491,41013,2973,39953,3284,38341,3373,40409,4438,41682,2609
86327,48666,4061,47737,5436,47116,5232,50269,5364,50706,8974,49572,5495
86329,40365,17743,43194,20791,45053,6812,47628,9919,47655,10165,50717,18065
86331,51071,22374,24552,19348,23793,8187,25641,6522,25229,10214,25617,6526
86332,34878,6765,36351,5056,36467,3380,36484,4653,37819,4627,37571,7447
86333,31098,8620,28993,7121,29851,4788,37446,7300,37744,6363,35752,5338
86334,42241,11266,41361,10167,41402,11938,43984,13984,36991,17546,46516,10894
86335,40037,10805,42353,10478,41339,10266,41528,16991,50192,14727,48373,15181
