SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Park Elementary,public,P.o. Box 640,Holbrook,Navajo,86025-0640,N/A,,99,98,2,-,97,2,-,97,2,-,98,2,-,98,2,-,2.02,0,N/A
Park Meadows Elementary School,public,20012 N 35th Ave,Glendale,Maricopa,85308-,N/A,,61,100,0,-,100,0,-,98,1.6,-,100,0,-,98,1.6,-,1.64,1.6,N/A
Parkridge Elementary,public,9970 W Beardsley Road,Peoria,Maricopa,85382-,N/A,,95,96,4.2,-,96,4.2,-,95,4.2,-,95,4.2,-,97,3.2,-,4.21,0,N/A
Parkview Elementary,public,16066 N Parkview Place,Surprise,Maricopa,85374-,N/A,,67,96,3,-,96,3,-,97,3,-,96,3,-,97,3,-,2.99,0,N/A
Paseo Hills,public,3302 W. Louise,Phoenix,Maricopa,85027-,N/A,,87,95,3.4,-,97,2.3,-,95,3.4,-,97,3.4,-,97,2.3,-,3.45,0,N/A
Paseo Verde,public,7880 W. Greenway Rd,Peoria,Maricopa,85381-,N/A,,64,94,0,-,91,0,-,88,0,-,94,0,-,92,0,-,0,0,N/A
Patterson Elementary,public,615 S Cheshire,Mesa,Maricopa,85208-7152,N/A,,88,97,3.4,-,97,3.4,-,97,3.4,-,97,3.4,-,98,2.3,-,3.41,0,N/A
Patterson Elementary,public,1211 E. Guadalupe Road,Gilbert,Maricopa,85234-,N/A,,85,98,2.4,-,98,2.4,-,96,2.4,-,98,2.4,-,98,2.4,-,2.35,0,N/A
Paulden Community School,charter,P.o. Box 622,Paulden,Yavapai,86334-,N/A,,25,68,28,-,72,28,-,68,28,-,72,28,-,72,28,-,28,0,N/A
Pecan Grove,public,600 S. 21st Ave.,Yuma,Yuma,85364-,N/A,,47,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Pena Blanca Elementary,public,131 Camino Maricopa,Rio Rico,Santa Cruz,85648-,N/A,,57,100,0,-,98,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Pendergast Elementary School,public,3800 N 91st Ave,Phoenix,Maricopa,85037,N/A,,86,99,0,-,100,0,-,99,0,-,98,0,-,97,0,-,0,0,N/A
Peoria Elementary,public,11501 North 79th Avenue,Peoria,Maricopa,85345-,N/A,,60,93,6.7,-,97,3.3,-,97,3.3,-,97,3.3,-,97,3.3,-,6.67,0,N/A
Peoria Traditional School,public,10851 W. Williams Road,Sun City,Maricopa,85373-3375,N/A,,50,94,6,-,94,6,-,94,6,-,94,6,-,94,6,-,6,0,N/A
Peralta Elementary,public,7125 W. Encanto Blvd.,Phoenix,Maricopa,85035-,N/A,,150,97,0,-,100,0,-,98,0,-,99,0,-,100,0,-,.67,0,N/A
Peralta Trail Elementary School,public,10965 E Peralta Road,Gold Canyon,Pinal,85118-,N/A,,61,92,8.2,-,90,8.2,-,92,8.2,-,87,8.2,-,97,3.3,-,6.56,3.3,N/A
Percy L. Julian,public,2149 East Carver St,Phoenix,Maricopa,85040-,N/A,,85,100,0,-,98,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Peter Howell Elementary School,public,401 N Irving,Tucson,Pima,85711-,N/A,,60,98,1.7,-,98,1.7,-,93,5,-,98,1.7,-,97,3.3,-,1.67,3.3,N/A
"Phoeni,x Day School For The Deaf",public,7654 N 19th Ave,Phoenix,Maricopa,85021-,N/A,,24,96,0,-,96,4.2,-,100,0,-,100,0,-,0,0,-,0,4.2,N/A
Phoenix Advantage Charter School,charter,3738 N. 16th St.,Phoenix,Maricopa,85016-,N/A,,71,89,9.9,-,89,9.9,-,87,9.9,-,89,9.9,-,90,8.5,-,9.86,0,N/A
Phoenix Country Day School,private,3901 E Stanford Drive,Paradise Valley,Maricopa,85253-,N/A,,36,89,11.1,-,92,8.3,-,89,11.1,-,89,11.1,-,92,8.3,-,11.11,2.8,N/A
Phoenix Day School For The Deaf,public,7654 N. 19th Ave,Phoenix,Maricopa,85021-,N/A,,24,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,8.3,N/A
Pima Butte,public,42202 W Rancho El Dorado,Maricopa,Pinal,85138-,N/A,,57,89,10.5,-,89,10.5,-,89,10.5,-,89,10.5,-,100,0,-,10.53,0,N/A
Pima Elementary School,public,Po Box 429,Pima,Graham,85543-,N/A,,53,87,5.7,-,87,5.7,-,89,5.7,-,94,5.7,-,94,5.7,-,5.66,0,N/A
Pima Elementary School,public,8330 E. Osborn Rd,Scottsdale,Maricopa,85251-,N/A,,97,99,1,-,100,0,-,100,0,-,100,0,-,100,0,-,4.12,0,N/A
Pine Forest Charter School,charter,1120 W. Kaibab Lane,Flagstaff,Coconino,86001-,N/A,,33,52,48.5,-,45,54.5,-,45,54.5,-,42,57.6,-,39,60.6,-,60.61,3,N/A
Pinnacle Peak Elementary,charter,7690 E Williams,Scottsdale,Maricopa,85255-,N/A,,79,91,8.9,-,91,8.9,-,89,8.9,-,92,7.6,-,94,6.3,-,7.59,1.3,N/A
Pinnacle Pointe Academy,charter,6753 W. Pinnacle Peak Road,Glendale,Maricopa,85310-,N/A,,81,94,6.2,-,94,6.2,-,90,9.9,-,93,7.4,-,99,1.2,-,11.11,0,N/A
Pinon Elementary School,public,Po Box 839,Pinon,Navajo,86510-,N/A,,71,100,0,-,92,8.5,-,93,7,-,100,0,-,100,0,-,1.41,0,N/A
Pioneer Elementary,public,6315 W. Port Au Prince,Glendale,Maricopa,85306-,N/A,,36,97,2.8,-,97,2.8,-,97,2.8,-,97,2.8,-,100,0,-,2.78,0,N/A
Pioneer Elementary School,public,6315 West Port Au Prince,Glendale,Maricopa,85306-,N/A,,36,97,2.8,-,97,2.8,-,97,2.8,-,97,2.8,-,97,2.8,-,2.78,0,N/A
Pioneer Elementary School,public,1535 N. Greenfield Rd.,Gilbert,Maricopa,85234-,N/A,,85,96,2.4,-,96,2.4,-,95,2.4,-,100,0,-,96,3.5,-,3.53,0,N/A
Pioneer Preparatory School,public,6510 W Clarendon Ave,Phoenix,Maricopa,85033-,N/A,,68,100,0,-,100,0,-,100,0,-,100,0,-,99,1.5,-,1.47,0,N/A
Playa Del Rey,public,550 N. Horne,Gilbert,Maricopa,85233,N/A,,72,94,5.6,-,94,5.6,-,94,5.6,-,97,2.8,-,96,4.2,-,4.17,0,N/A
"Plc Arts Academy At Scottsdale, Inc.",charter,7214 E. Jenan Dr.,Scottsdale,Maricopa,85260-,N/A,,29,86,13.8,-,86,13.8,-,86,13.8,-,90,10.3,-,90,10.3,-,10.34,3.4,N/A
Pomeroy,public,"1507 W Shawnee Dr, ",Chandler,Maricopa,85224-2259,N/A,,100,96,4,-,96,4,-,92,8,-,95,5,-,100,0,-,10,0,N/A
Porfirio H. Gonzales Elementary School,public,9401 W. Garfield St.,Tolleson,Maricopa,85353-,N/A,,83,100,0,-,100,0,-,100,0,-,99,0,-,100,0,-,0,0,N/A
Porter Elementary School,public,1350 S. Lindsay Rd. ,Mesa,Maricopa,85204-6229,N/A,,61,93,4.9,-,93,4.9,-,92,6.6,-,95,4.9,-,95,4.9,-,4.92,1.6,N/A
